Date,FX180110001,FX180110002
2000-01,103.15,163.14
2000-02,99.89,156.68
2000-03,103.2,161.92
2000-04,104.48,164.2
2000-05,103.47,162.78
2000-06,104.72,163.94
2000-07,103.43,161.36
2000-08,103.97,162.25
2000-09,106.54,164.83
2000-10,105.95,163.73
2000-11,106.09,163.14
2000-12,102.33,157.39
2001-01,97.64,149.54
2001-02,98.44,149.99
2001-03,95.22,144.42
2001-04,94.41,142.83
2001-05,96.11,145.24
2001-06,96.49,145.28
2001-07,94.74,142.51
2001-08,95.65,144.3
2001-09,97.81,146.82
2001-10,96.3,144.51
2001-11,95.75,142.99
2001-12,92.09,137.49
2002-01,88.65,131.71
2002-02,88.32,129.79
2002-03,89.78,132.22
2002-04,89.55,131.84
2002-05,91.45,134.93
2002-06,92.57,136.52
2002-07,95.65,140.63
2002-08,95.65,140.69
2002-09,94.46,138.45
2002-10,92.41,135.06
2002-11,93.46,136.42
2002-12,92.66,135.03
2003-01,94.06,135.81
2003-02,93.43,133.8
2003-03,94.2,135.04
2003-04,92.88,133.54
2003-05,92.98,134.15
2003-06,91.81,132.44
2003-07,92.05,132.57
2003-08,92.53,133.13
2003-09,95.16,136.44
2003-10,98.64,141.14
2003-11,98.98,140.49
2003-12,99.15,140.58
2004-01,99.55,140.12
2004-02,99.1,139.17
2004-03,98.07,137.49
2004-04,99.21,138.43
2004-05,96.04,133.87
2004-06,98,136.85
2004-07,97.73,135.85
2004-08,97.01,134.7
2004-09,97.17,134.95
2004-10,97.5,135.7
2004-11,99.5,138.2
2004-12,99.22,137.11
2005-01,99.94,137.45
2005-02,98.32,133.9
2005-03,97.59,132.91
2005-04,96.34,130.91
2005-05,97.27,132.26
2005-06,96.54,130.95
2005-07,94.25,127.23
2005-08,94.34,127.12
2005-09,94.16,126.42
2005-10,91.64,122.68
2005-11,89.28,119.37
2005-12,88.7,118.66
2006-01,89.83,119.58
2006-02,88.04,116.53
2006-03,88.47,117.25
2006-04,87.86,115.92
2006-05,90.92,120.04
2006-06,89.37,118.03
2006-07,88.39,116.21
2006-08,87.82,116.05
2006-09,87.01,114.89
2006-10,85.95,113.32
2006-11,86.05,112.77
2006-12,85.21,111.29
2007-01,83.21,108.3
2007-02,82.84,106.67
2007-03,84.89,109.42
2007-04,82.92,106.66
2007-05,81.32,104.6
2007-06,80.04,102.48
2007-07,79.78,101.73
2007-08,83.75,106.93
2007-09,84.37,107.31
2007-10,82.5,104.79
2007-11,85.33,107.54
2007-12,84.47,106.39
2008-01,87.36,109.17
2008-02,87.47,107.93
2008-03,91.65,113.37
2008-04,89.61,110.12
2008-05,88.66,109.35
2008-06,86.41,106.42
2008-07,85.82,105.55
2008-08,85.49,105.57
2008-09,89.6,110.57
2008-10,99.61,123.02
2008-11,105.49,130.12
2008-12,111.1,137.15
2009-01,112.36,137.58
2009-02,111.82,136.22
2009-03,105.62,128.88
2009-04,102.78,125.35
2009-05,102.77,124.98
2009-06,101.92,123.7
2009-07,104.07,125.87
2009-08,102.96,124.51
2009-09,105.95,127.86
2009-10,106.01,127.18
2009-11,107.1,128.03
2009-12,106.82,127.01
2010-01,105.06,124.68
2010-02,107.66,126.85
2010-03,106.63,126.03
2010-04,102.99,121.32
2010-05,106.8,125.71
2010-06,109.21,128.47
2010-07,111.92,130.64
2010-08,113.95,132.72
2010-09,114.17,132.81
2010-10,115.12,133.86
2010-11,114.41,131.98
2010-12,114.03,130.76
2011-01,114.04,129.95
2011-02,113.4,128.24
2011-03,113.89,128.67
2011-04,110.07,124.01
2011-05,112.95,126.96
2011-06,113.84,127.69
2011-07,114.95,128.68
2011-08,118.45,132.36
2011-09,121.14,134.93
2011-10,122.2,136.04
2011-11,121.15,133.99
2011-12,121.44,134.08
2012-01,122.67,135.08
2012-02,118.71,130.76
2012-03,113.21,124.75
2012-04,115.04,126.48
2012-05,118.82,130.38
2012-06,120.82,132
2012-07,121.16,132.06
2012-08,121.01,131.42
2012-09,120.46,130.42
2012-10,118.5,128.2
2012-11,115.53,124.62
2012-12,111.27,119.76
2013-01,104.07,111.75
2013-02,99.8,106.22
2013-03,98.59,105.32
2013-04,95.24,101.92
2013-05,92.38,99.03
2013-06,96.42,103.2
2013-07,94.53,101.3
2013-08,96.22,103.09
2013-09,94.72,101.31
2013-10,95.15,101.88
2013-11,93.49,100.07
2013-12,90.34,96.62
2014-01,90.3,96.22
2014-02,92.18,97.79
2014-03,91.96,97.66
2014-04,91.71,99.38
2014-05,92.29,100.18
2014-06,92.18,100.01
2014-07,92.25,100.07
2014-08,91.4,99.28
2014-09,88.48,96.06
2014-10,88.63,96
2014-11,83.05,89.69
2014-12,82,88.62
2015-01,83.78,90.74
2015-02,84.19,90.37
2015-03,83.89,90.23
2015-04,83.86,90.55
2015-05,82.55,89.17
2015-06,80.98,87.15
2015-07,81.98,88.05
2015-08,83.49,89.6
2015-09,86.18,92.52
2015-10,85.67,91.98
2015-11,84.82,90.72
2015-12,85.99,91.87
2016-01,89.72,95.6
2016-02,91.84,97.19
2016-03,92.27,97.73
2016-04,94.06,99.76
2016-05,95.44,101.18
2016-06,98.89,104.56
2016-07,100.65,106.16
2016-08,102.79,108.34
2016-09,102.42,107.78
2016-10,101.38,107.11
2016-11,98.67,104.2
2016-12,93.09,97.91
2017-01,93.61,97.88
2017-02,94.61,98.54
2017-03,94.48,98.44
2017-04,96.57,100.91
2017-05,94.19,98.51
2017-06,94.55,98.74
2017-07,92.62,96.5
2017-08,93.88,97.71
2017-09,92.34,95.98
2017-10,91.32,94.88
2017-11,91.31,95.13
2017-12,90.68,94.48
2018-01,90.5,94.24
2018-02,92.34,95.42
2018-03,94.03,97.1
2018-04,92.83,95.62
2018-05,92.66,95.47
2018-06,93.38,96.02
2018-07,93.75,96.27
2018-08,95.14,97.91
2018-09,94.41,96.86
2018-10,94.3,96.89
2018-11,94.07,96.69
2018-12,94.76,97.14
2019-01,96.71,99.35
2019-02,95.16,97.07
2019-03,94.56,96.37
2019-04,94.36,96.08
2019-05,97.01,98.59
2019-06,98.5,99.96
2019-07,98.16,99.39
2019-08,101.73,103.07
2019-09,100.78,101.74
2019-10,99.76,100.61
2019-11,98.48,99.34
2019-12,98.01,98.59
2020-01,97.22,97.53
2020-02,97.8,97.44
2020-03,101.39,101.59
2020-04,102.38,103.12
2020-05,102.67,103.7
2020-06,100.71,101.13
2020-07,100.66,100.72
2020-08,100.12,100.12
2020-09,100.01,99.63
2020-10,99.71,99.33
2020-11,99.05,98.55
2020-12,98.29,97.15
2021-01,97.77,96.77
2021-02,96.28,94.57
2021-03,94.45,92.89
2021-04,94.08,91.65
2021-05,92.99,90.84
2021-06,92.29,90.09
2021-07,93.38,91.07
2021-08,93.91,91.37
2021-09,93.49,90.99
2021-10,91.34,88.23
2021-11,90.89,87.55
2021-12,91.31,87.73
2022-01,90.31,86.59
2022-02,89.97,85.85
2022-03,88.5,84.07
2022-04,83.82,79.54
2022-05,84.34,79.98
2022-06,81.25,76.52
2022-07,80.96,76.25
2022-08,82.19,77.55
2022-09,79.83,75.26
2022-10,78.92,74.52
2022-11,80.24,75.92
2022-12,82.55,78.18
2023-01,83.68,79.33
2023-02,82.7,77.6
2023-03,82.86,78
2023-04,82.4,77.91
2023-05,80.9,76.6
2023-06,79.35,75.05
2023-07,79.2,75.02
2023-08,78.1,73.78
