Date,名目GDP,実質GDP,GDPデフレーター,民間最終消費支出,住宅投資,設備投資,政府最終消費支出,公共投資,輸出,輸入
1994-03,126277.3,113629.4,111.1,62032.6,8062.5,20041.1,17657.2,12427,8490.1,9887.9
1994-06,127222.3,111785.5,113.8,62016.2,8400.3,17228.6,17971.2,9865,8474.8,10073.7
1994-09,128136.2,116284,110.2,64430.6,9641,18727.9,17792.9,10830.7,8815.5,10564.8
1994-12,140039.2,122568.5,114.3,65779.5,9255.8,18653.5,18116.1,13568.2,9140.3,10760.4
1995-03,126642.5,114538.6,110.6,63408.5,8422.5,20167.9,18454.3,11553.4,8831,10846.4
1995-06,129334.3,114675.7,112.8,63537.2,8265.7,18030,18559.1,9358.4,8912.8,11147.3
1995-09,130789.4,119368.9,109.6,65905.3,8658.1,20077.6,18458.6,11501,9185,11997.8
1995-12,143697,126557.7,113.5,67600,8847.1,20083.7,18871.5,14707.3,9456.9,12661.7
1996-03,130885.6,118591,110.4,64831.1,8481.6,21652.8,18881.2,13545.6,9169.9,12638.1
1996-06,133793.5,118407,113,64887.4,8875.1,19237.2,19007.5,10324.4,9097.8,12978.4
1996-09,134009,122433.3,109.5,67015.3,9814,21511.1,18783.8,11331.3,9580.6,13172.8
1996-12,147539.8,130322.4,113.2,68783.7,9906.1,21153.8,19385.1,14035.8,10304.7,13463.8
1997-03,134016.7,122385.9,109.5,67323.2,9323.2,23122.4,19243.7,12424.5,10139,13324.4
1997-06,136080.3,119965.4,113.4,64821.7,8600.3,19735.3,19454.5,9596.6,10494.6,13015.9
1997-09,135995.7,123911.3,109.8,66939.8,8657.7,21961.7,19080.2,11143.3,10610.9,13191.8
1997-12,148019.2,130166.2,113.7,67833.1,8280,21983.5,19495.1,13400.3,11153.1,13018.2
1998-03,132165.5,119748.5,110.4,65448.4,7598.8,22851,19374.6,11345.2,10382.8,12682.9
1998-06,133314,117973.3,113,64765.7,7527.3,19027.3,19642.2,8624.1,10112.7,12018.2
1998-09,132407.8,121360.4,109.1,67137.7,7836.9,21125.9,19409.4,10371.9,10410.6,12205
1998-12,145416.8,128546.8,113.1,67953.1,7637.2,20081.7,19852.8,14427.2,10479.3,12103.8
1999-03,129818.2,118830.8,109.2,66202.6,7129.9,21300.8,19976.5,13212.9,10048.4,12209.5
1999-06,131692.6,117866.6,111.7,65507.2,7622.1,17875.4,20320,9860.2,10084.6,12324
1999-09,130907.5,121772.7,107.5,67819.5,8138.3,20066.6,20211.1,10977.2,10798.1,12832.7
1999-12,141688.7,127463.9,111.2,68747.3,7738.2,19751.5,20581.2,13660.4,11275.8,13442.5
2000-03,132573.5,122844.6,107.9,67724.8,7410.8,22782.6,20778.4,11852,11398,13126.7
2000-06,133854.6,121510.7,110.2,66444,7662.7,18423.2,21173.8,8808.4,11701.7,13537.7
2000-09,132862.8,124839.2,106.4,68319.5,8036.8,21706.9,20998,9937.6,12199.5,14030.8
2000-12,144103.9,131212.1,109.8,70043.4,8086.3,21668.2,21391.2,11946.6,12377.2,14923.7
2001-03,135023.2,126157.9,107,68948.8,7635.6,24173.2,21383.9,11825.6,11500.9,14517.5
2001-06,133524.5,122487.8,109,68378.3,7264.3,18989.5,21673.2,8203,11007.5,14141.8
2001-09,130820.5,124322.2,105.2,69861.2,7726.1,21455.1,21362.5,9413.6,11000.5,13807.7
2001-12,140073.4,128862.8,108.7,70813.8,7724.7,19963.9,21891.2,11344.5,11003.3,13796.8
2002-03,130980.3,123879.6,105.7,70018.3,7202.8,22195.5,21918.1,11130.1,11120.1,13469.4
2002-06,131306.6,122151.3,107.5,69200.2,7219.9,17680.7,22037.8,7884.2,11867.6,13831.9
2002-09,130210.3,125599.6,103.7,70791.3,7742.5,20542.2,21873,8982.8,12187.1,14376.6
2002-12,139893.6,130626.8,107.1,71569.5,7612.3,19879.9,22109.9,10896.8,12895.6,15035.4
2003-03,129136.8,125417.4,103,70368,7151.6,22038.8,22268,10619.1,12638.4,14629
