Date,就業者数,正規雇用者数,非正規雇用者数,完全失業者数,完全失業率,若年失業率,非労働力人口
1968-01,,,,,,2.2,
1968-02,,,,,,2.4,
1968-03,,,,,,2.9,
1968-04,,,,,,2.1,
1968-05,,,,,,1.7,
1968-06,,,,,,1.6,
1968-07,,,,,,1.7,
1968-08,,,,,,1.7,
1968-09,,,,,,1.5,
1968-10,,,,,,1.3,
1968-11,,,,,,1.2,
1968-12,,,,,,1.4,
1969-01,,,,,,2,
1969-02,,,,,,2.4,
1969-03,,,,,,2.7,
1969-04,,,,,,1.9,
1969-05,,,,,,1.9,
1969-06,,,,,,1.9,
1969-07,,,,,,2,
1969-08,,,,,,1.5,
1969-09,,,,,,1.6,
1969-10,,,,,,1.6,
1969-11,,,,,,1.4,
1969-12,,,,,,1.5,
1970-01,,,,,,2.2,
1970-02,,,,,,2.4,
1970-03,,,,,,2.4,
1970-04,,,,,,2.1,
1970-05,,,,,,1.5,
1970-06,,,,,,1.4,
1970-07,,,,,,1.9,
1970-08,,,,,,1.8,
1970-09,,,,,,2.4,
1970-10,,,,,,2.1,
1970-11,,,,,,1.6,
1970-12,,,,,,1.8,
1971-01,,,,,,2,
1971-02,,,,,,2.3,
1971-03,,,,,,2.9,
1971-04,,,,,,2.3,
1971-05,,,,,,2.1,
1971-06,,,,,,1.9,
1971-07,,,,,,2,
1971-08,,,,,,2.4,
1971-09,,,,,,1.8,
1971-10,,,,,,1.7,
1971-11,,,,,,1.7,
1971-12,,,,,,1.8,
1972-01,,,,,,2.2,
1972-02,,,,,,2.4,
1972-03,,,,,,3.2,
1972-04,,,,,,2.3,
1972-05,,,,,,2.3,
1972-06,,,,,,2.2,
1972-07,,,,,,2,
1972-08,,,,,,2.7,
1972-09,,,,,,3.3,
1972-10,,,,,,2.4,
1972-11,,,,,,2.3,
1972-12,,,,,,2.1,
1973-01,,,,,,2.8,
1973-02,,,,,,2.5,
1973-03,,,,,,3.1,
1973-04,,,,,,2.5,
1973-05,,,,,,2.4,
1973-06,,,,,,2.3,
1973-07,,,,,,2.1,
1973-08,,,,,,2.1,
1973-09,,,,,,2.1,
1973-10,,,,,,1.7,
1973-11,,,,,,1.9,
1973-12,,,,,,1.6,
1974-01,,,,,,2.2,
1974-02,,,,,,2.7,
1974-03,,,,,,3.3,
1974-04,,,,,,2.7,
1974-05,,,,,,2.2,
1974-06,,,,,,2.3,
1974-07,,,,,,2.1,
1974-08,,,,,,2.5,
1974-09,,,,,,2.3,
1974-10,,,,,,2.4,
1974-11,,,,,,2.2,
1974-12,,,,,,2.4,
1975-01,,,,,,3,
1975-02,,,,,,3.2,
1975-03,,,,,,3.5,
1975-04,,,,,,3,
1975-05,,,,,,2.8,
1975-06,,,,,,3.2,
1975-07,,,,,,2.8,
1975-08,,,,,,2.7,
1975-09,,,,,,3,
1975-10,,,,,,3.4,
1975-11,,,,,,3.2,
1975-12,,,,,,2.8,
