Date,鉱工業生産指数,鉱工業出荷指数,鉱工業在庫指数,鉱工業在庫率指数,資本財出荷指数,電子部品・デバイス工業生産指数,自動車工業生産指数
2018-01,105.6,106.2,102.6,92.3,113.2,97.8,111.6
2018-02,111,111.3,103,88.1,115.5,92.1,129
2018-03,128.1,130.4,99.6,75.4,164.3,104.6,140.9
2018-04,111.8,111.7,100.9,84.2,108.5,95.9,120.2
2018-05,109.9,108.3,104.4,89.1,102.2,99.5,112
2018-06,115.5,116.7,103,84.9,122.7,102,126.1
2018-07,117,115.8,105.3,87.1,113.9,106.6,123.4
2018-08,108,109,104.5,88.4,108.7,105.1,106.2
2018-09,113.8,114.5,101.8,84.5,124.5,105.4,122.4
2018-10,120.2,119.8,102.4,83.7,119.7,117.4,134.5
2018-11,119,118.5,103.5,83.3,117.8,110,133.2
2018-12,115.7,116.5,100.5,84.8,117.1,103.8,119
2019-01,106,105.6,103.7,93.3,102.8,97.6,117.6
2019-02,110.4,111.3,103.4,90.2,118,89.6,128.9
2019-03,122.9,125.2,98.6,77.8,153.5,99.7,132.7
2019-04,111.4,110.6,101,86.1,103.6,92.1,122.5
2019-05,107.9,106.7,105,93.2,104.7,90.3,118.5
2019-06,111.9,111.7,104.9,90.2,113.5,92.3,121.2
2019-07,118.2,118.3,106.7,87.7,117.3,102.2,135.2
2019-08,102.6,104.1,105.5,96,103.7,100.1,102
2019-09,115.9,117.7,101.8,85.7,136.3,108.5,125.1
2019-10,110.8,110.5,104,91.7,109.2,107.4,118.5
2019-11,109.7,109.5,104.2,93.2,102.6,102.2,120.7
2019-12,111.4,112.2,101,89,116,101.6,110.3
2020-01,102.7,101.8,106.5,102.2,105.2,93.1,114.2
2020-02,103.7,104.8,104.5,98.1,108.5,90.7,114.1
2020-03,116.5,117,101,87,135.5,103.6,121
2020-04,94.8,91.8,103.5,108.1,86,96,67.6
2020-05,80,77.5,104.1,129.1,72.5,84.3,45.7
2020-06,91.6,92.9,100.9,109.6,101.8,89.6,71.8
2020-07,99.1,98.6,100.8,101.3,89.3,99.6,101.8
2020-08,87.9,88.7,100,108.4,77.8,98,83.1
2020-09,104.6,106.3,95.7,89.9,107.3,115.3,122
2020-10,106.2,106.8,95.4,90.1,102.6,109.9,125.9
2020-11,104.8,105.1,94.9,90.5,104.3,109,119.6
2020-12,107.9,108.6,92.6,85.6,109.3,111.1,113.3
