Date,鉱工業生産指数,鉱工業出荷指数,鉱工業在庫指数,鉱工業在庫率指数,資本財出荷指数,電子部品・デバイス工業生産指数,自動車工業生産指数
0100-12,10000,10000,10000,9704.2,1673.6,585,1248.2
0500-12,109.9,108.3,104.4,89.1,102.2,99.5,112
0501-12,120.2,119.8,102.4,83.7,119.7,117.4,134.5
0502-12,122.9,125.2,98.6,77.8,153.5,99.7,132.7
0503-12,102.6,104.1,105.5,96,103.7,100.1,102
0504-12,102.7,101.8,106.5,102.2,105.2,93.1,114.2
0505-12,91.6,92.9,100.9,109.6,101.8,89.6,71.8
0506-12,104.8,105.1,94.9,90.5,104.3,109,119.6
0507-12,108.4,106.3,93.3,85,102.1,108.1,112.6
0508-12,103.1,100.8,96.7,90.6,113.7,121.1,71.5
0509-12,101.4,99.6,103,100.3,105.2,102.8,103.6
0510-12,107.9,106.5,101.4,96.7,116.2,106.3,106.7
0511-12,107.6,107.3,101.2,96.7,118,99.1,101.6
0512-12,96.6,93.9,106.3,112.1,93.1,84.6,97.3
0513-12,106.3,105.3,103.7,101.8,109.5,103.7,122.7
0514-12,110,110.1,99.6,96.8,142.5,102.6,108.3
0515-12,91.4,90.3,103.1,116.9,91.6,106.8,82.2
0516-12,94.3,92.2,103,115.6,93.1,90.7,103.2
0517-12,102.7,101.3,100.4,106.2,115.9,105.2,110.1
0518-12,99.1,98.4,99,106.1,104.5,106.3,103.1
0519-12,112.6,111.6,93.8,91.9,140.5,113.7,118.3
